MaxN

Generated: Wednesday, July 06, 2016 10:16:38

Filename	Frame	Time (mins)	Period	Period time (mins)	OpCode	Tape Reader	Depth	Comment									Family	Genus	Species	Code	MaxN	Has fed
MNCB277_L416.avi	  36033	  20.0384			MNCB277	Todd											Labridae	Choerodon	cyanodus	37384072	1	No
MNCB277_L416.avi	  12850	   7.1460			MNCB277	Todd											Labridae	Coris	aygula	37384090	1	No
MNCB277_L416.avi	  14403	   8.0097			MNCB277	Todd											Labridae	Halichoeres	hortulanus	37384112	1	No
MNCB277_L416.avi	  18176	  10.1079			MNCB277	Todd											Labridae	Halichoeres	nebulosus	37384118	3	No
MNCB277_L416.avi	  33886	  18.8444			MNCB277	Todd											Labridae	Hemigymnus	melapterus	37384125	2	No
MNCB277_L416.avi	  32553	  18.1031			MNCB277	Todd											Labridae	Labroides	dimidiatus	37384028	4	No
MNCB277_L416.avi	  14094	   7.8378			MNCB277	Todd											Labridae	Thalassoma	amblycephalum	37384164	5	No
MNCB277_L416.avi	  17776	   9.8854			MNCB277	Todd											Labridae	Thalassoma	lunare	37384167	29	No
MNCB277_L416.avi	  23667	  13.1615			MNCB277	Todd											Labridae	Thalassoma	lutescens	37384168	1	No
MNCB277_L416.avi	   7138	   3.9695			MNCB277	Todd											Latidae	Psammoperca	waigiensis	37310001	1	No
MNCB277_L416.avi	 103278	  57.4341			MNCB277	Todd											Lethrinidae	Lethrinus	atkinsoni	37351013	2	Yes
MNCB277_L416.avi	  13395	   7.4491			MNCB277	Todd											Lutjanidae	Lutjanus	bohar	37346029	1	No
MNCB277_L416.avi	   7064	   3.9284			MNCB277	Todd											Lutjanidae	Lutjanus	carponotatus	37346011	2	No
MNCB277_L416.avi	   9201	   5.1168			MNCB277	Todd											Lutjanidae	Lutjanus	fulviflamma	37346034	4	No
MNCB277_L416.avi	  21791	  12.1182			MNCB277	Todd											Lutjanidae	Lutjanus	lemniscatus	37346010	1	Yes
MNCB277_L416.avi	  71944	  40.0089			MNCB277	Todd											Muraenidae	Gymnothorax	undulatus	37060053	1	No
