3D Point and Length Measurements

Generated: Wednesday, July 06, 2016 10:16:38

Filename	Frame	Time (mins)	Period	Period time (mins)	Length (mm)	Precision (mm)	RMS (mm)	Range (mm)	Direction (deg)	Horz. Dir. (deg)	Vert. Dir. (deg)	Mid X (mm)	Mid Y (mm)	Mid Z (mm)	OpCode	Tape Reader	Depth	Comment									Family	Genus	Species	Code	Number	Stage	Activity	Comment		
MNCB272_L511.avi	  82782	  46.0360			140.309	1.216	2.621	1542.214	6.571	4.548	1.574	155.449	83.582	-1532.081	MNCB272	Molly											Pomacentridae	Abudefduf	bengalensis	37372003	1	AD	Passing			
MNCB272_L511.avi	  82801	  46.0466			146.598	3.310	0.480	1934.541	24.387	8.273	27.451	-767.193	-222.386	-1761.933	MNCB272	Molly											Pomacentridae	Abudefduf	bengalensis	37372003	1	AD	Passing			
MNCB272_L511.avi	  82815	  46.0544				12.596	4.449	4089.835	18.597			1300.227	138.042	-3875.191	MNCB272	Molly											Pomacentridae	Abudefduf	bengalensis	37372003	1	AD	Passing			
MNCB272_L511.avi	  82815	  46.0544				1.120	0.914	1131.885	13.484			263.799	1.627	-1100.714	MNCB272	Molly											Pomacentridae	Abudefduf	bengalensis	37372003	1	AD	Passing			
MNCB272_L511.avi	  82822	  46.0583			136.374	2.809	2.309	1732.278	3.722	20.734	10.647	112.208	-7.436	-1728.625	MNCB272	Molly											Pomacentridae	Abudefduf	bengalensis	37372003	1	AD	Passing			
MNCB272_L511.avi	  82865	  46.0822			154.124	3.973	2.105	2119.663	7.852	20.092	9.155	156.720	243.487	-2099.792	MNCB272	Molly											Pomacentridae	Abudefduf	bengalensis	37372003	1	AD	Passing			
MNCB272_L511.avi	  89911	  50.0006			163.444	4.764	1.541	2056.860	25.418	16.854	3.179	-882.008	-38.292	-1857.759	MNCB272	Molly											Nemipteridae	Pentapodus	emeryii	37347027	1	AD	Passing			
MNCB272_L511.avi	  89911	  50.0006				1.553	1.228	1344.273	19.920			-386.709	-233.829	-1266.037	MNCB272	Molly											Nemipteridae	Pentapodus	emeryii	37347027	1	AD	Passing			
MNCB272_L511.avi	  98209	  54.6152			403.875	6.422	3.105	1703.635	25.011	85.792	3.020	649.177	312.038	-1543.883	MNCB272	Molly											Sphyraenidae	Sphyraena	qenie	37382009	1	AD	Passing			
MNCB272_L511.avi	  98269	  54.6485			433.636	8.950	4.371	2065.852	23.640	71.360	7.089	672.502	483.696	-1892.491	MNCB272	Molly											Sphyraenidae	Sphyraena	qenie	37382009	1	AD	Passing			
MNCB272_L511.avi	  98921	  55.0111			78.953	2.776	1.389	2019.298	3.547	14.872	14.174	9.816	124.540	-2015.430	MNCB272	Molly											Pomacentridae	Abudefduf	sexfasciatus	37372011	1	AD	Passing			
MNCB272_L511.avi	  98946	  55.0250			112.129	8.941	1.456	2345.902	12.858	42.733	12.977	-501.066	146.442	-2287.082	MNCB272	Molly											Pomacentridae	Abudefduf	sexfasciatus	37372011	1	AD	Passing			
MNCB272_L511.avi	  98956	  55.0306			111.759	3.382	2.357	2103.823	2.708	18.081	22.950	-90.755	40.511	-2101.474	MNCB272	Molly											Pomacentridae	Abudefduf	sexfasciatus	37372011	1	AD	Passing			
MNCB272_L511.avi	  98956	  55.0306			127.112	7.218	1.327	2579.397	8.966	25.535	8.358	326.503	234.495	-2547.881	MNCB272	Molly											Pomacentridae	Abudefduf	sexfasciatus	37372011	1	AD	Passing			
MNCB272_L511.avi	  98961	  55.0334			95.425	4.695	1.199	1990.899	16.116	36.225	38.696	545.965	85.612	-1912.661	MNCB272	Molly											Pomacentridae	Abudefduf	sexfasciatus	37372011	1	AD	Passing			
MNCB272_L511.avi	  98961	  55.0334			135.056	7.255	8.557	1878.743	12.262	57.974	2.680	373.217	141.178	-1835.879	MNCB272	Molly											Pomacentridae	Abudefduf	sexfasciatus	37372011	1	AD	Passing			
MNCB272_L511.avi	  98961	  55.0334			120.400	9.933	6.777	3521.084	20.311	16.119	18.515	-835.564	891.972	-3302.159	MNCB272	Molly											Pomacentridae	Abudefduf	sexfasciatus	37372011	1	AD	Passing			
MNCB272_L511.avi	  98961	  55.0334			102.510	7.557	0.908	2122.441	13.145	43.897	7.030	-415.371	245.831	-2066.831	MNCB272	Molly											Pomacentridae	Abudefduf	sexfasciatus	37372011	1	AD	Passing			
MNCB272_L511.avi	  98961	  55.0334			99.688	6.076	3.197	2781.069	9.838	17.190	4.449	-337.664	334.355	-2740.171	MNCB272	Molly											Pomacentridae	Abudefduf	sexfasciatus	37372011	1	AD	Passing			
MNCB272_L511.avi	  98961	  55.0334			128.253	12.286	1.982	2410.375	5.365	59.911	0.830	2.021	225.362	-2399.816	MNCB272	Molly											Pomacentridae	Abudefduf	sexfasciatus	37372011	1	AD	Passing			
MNCB272_L511.avi	  98961	  55.0334				4.323	2.880	2445.593	5.978			-141.758	233.836	-2430.257	MNCB272	Molly											Pomacentridae	Abudefduf	sexfasciatus	37372011	1	AD	Passing			
MNCB272_L511.avi	  98961	  55.0334				9.927	2.231	3721.671	8.874			454.189	384.711	-3673.764	MNCB272	Molly											Pomacentridae	Abudefduf	sexfasciatus	37372011	3	AD	Passing			
MNCB272_L511.avi	  98961	  55.0334				1.994	1.964	1614.367	0.509			13.632	19.184	-1614.195	MNCB272	Molly											Pomacentridae	Abudefduf	sexfasciatus	37372011	1	AD	Passing			
MNCB272_L511.avi	  98961	  55.0334				11.711	9.535	3953.734	13.686			862.963	396.228	-3838.009	MNCB272	Molly											Pomacentridae	Abudefduf	sexfasciatus	37372011	1	AD	Passing			
MNCB272_L511.avi	  98961	  55.0334				4.725	0.013	2487.844	14.702			631.150	38.969	-2406.137	MNCB272	Molly											Pomacentridae	Abudefduf	sexfasciatus	37372011	3	AD	Passing			
MNCB272_L511.avi	  98962	  55.0339			131.729	12.772	3.887	2439.129	5.281	61.510	1.849	-3.392	224.469	-2428.776	MNCB272	Molly											Pomacentridae	Abudefduf	sexfasciatus	37372011	1	AD	Passing			
MNCB272_L511.avi	  98963	  55.0345			102.638	9.237	2.604	2818.219	18.278	36.258	38.622	-823.425	321.283	-2676.024	MNCB272	Molly											Pomacentridae	Abudefduf	sexfasciatus	37372011	1	AD	Passing			
MNCB272_L511.avi	  98966	  55.0361			115.894	8.993	11.237	2428.924	19.238	59.214	41.060	-468.967	648.508	-2293.290	MNCB272	Molly											Pomacentridae	Abudefduf	sexfasciatus	37372011	1	AD	Passing			
MNCB272_L511.avi	  98971	  55.0389			160.957	14.730	2.716	2649.667	7.847	69.685	22.544	3.300	361.726	-2624.858	MNCB272	Molly											Pomacentridae	Abudefduf	sexfasciatus	37372011	1	AD	Passing			
MNCB272_L511.avi	  98983	  55.0456				5.424	2.038	2681.157	11.898			-506.985	244.273	-2621.431	MNCB272	Molly											Pomacentridae	Abudefduf	sexfasciatus	37372011	1	AD	Passing			
MNCB272_L511.avi	  98992	  55.0506			122.398	10.572	3.653	2846.633	17.527	39.893	33.528	-696.979	499.122	-2714.483	MNCB272	Molly											Pomacentridae	Abudefduf	sexfasciatus	37372011	1	AD	Passing			
MNCB272_L511.avi	  99001	  55.0556			111.053	6.519	3.133	3122.240	20.609	6.807	27.154	-839.321	709.449	-2922.432	MNCB272	Molly											Pomacentridae	Abudefduf	sexfasciatus	37372011	1	AD	Passing			
MNCB272_L511.avi	  99006	  55.0584			166.206	14.120	4.669	3385.358	27.311	33.433	26.372	-1438.460	586.111	-3007.982	MNCB272	Molly											Pomacentridae	Abudefduf	sexfasciatus	37372011	1	AD	Passing			
MNCB272_L511.avi	  99007	  55.0589			171.494	15.371	4.247	3146.731	13.153	45.752	25.181	-455.362	552.612	-3064.177	MNCB272	Molly											Pomacentridae	Abudefduf	sexfasciatus	37372011	1	AD	Passing			
MNCB272_L511.avi	 105575	  58.7115			223.727	5.730	1.579	2202.148	18.201	25.728	12.460	-675.094	131.802	-2091.969	MNCB272	Molly											Siganidae	Siganus	fuscescens	37438001	1	AD	Passing			
